,Date,Open,High,Low,Close,adj_close,Volume,upper,middle,lower,macd,macd_signal,macd_hist
43,2023-03-06,4425.0,4777.4501953125,4415.0,4740.0,4740.0,391180,4638.262952542997,4344.8125,4051.362047457003,157.42403500659293,174.13097188695434,-16.70693688036141
44,2023-03-07,4780.0,4820.0,4390.0,4458.0,4458.0,592363,4639.841595038961,4361.7625,4083.683404961039,148.49645457607494,169.00406842477847,-20.507613848703528
45,2023-03-08,4512.0,4569.35009765625,4440.0,4545.0,4545.0,280231,4654.360897469167,4380.7625,4107.164102530833,146.74981515528634,164.55321777088005,-17.80340261559371
46,2023-03-09,4599.0,4753.14990234375,4515.0,4534.89990234375,4534.89990234375,308242,4668.629278309296,4395.757495117187,4122.885711925079,142.90329710482183,160.22323363766841,-17.319936532846583
47,2023-03-10,4599.0,4641.0,4200.0,4210.0,4210.0,677657,4671.417593050468,4393.757495117187,4116.097397183907,112.34317483153973,150.64722187644267,-38.304047044902944
48,2023-03-13,4140.5,4170.0,3895.0,3923.300048828125,3923.300048828125,564910,4715.107802129883,4380.797497558594,4046.487192987305,64.24914361418632,133.3676062239914,-69.11846260980508
49,2023-03-14,4051.449951171875,4140.10009765625,3843.5,3874.199951171875,3874.199951171875,465331,4759.741457787948,4360.357495117188,3960.9735324464273,21.919633945799433,111.07801176835301,-89.15837782255358
50,2023-03-15,3600.0,3718.35009765625,3570.0,3686.25,3686.25,595472,4809.055955243723,4319.517504882812,3829.979054521902,-26.48746670207038,83.56491607426833,-110.0523827763387
51,2023-03-16,3694.0,3881.0,3620.0,3842.949951171875,3842.949951171875,487559,4810.742664729763,4286.817492675781,3762.8923206217983,-51.61112533039886,56.529707793334886,-108.14083312373376
52,2023-03-17,3770.449951171875,3794.14990234375,3664.14990234375,3682.449951171875,3682.449951171875,296871,4831.801051106972,4249.939990234375,3668.078929361777,-83.51016128899937,28.52173397686803,-112.0318952658674
53,2023-03-20,3752.0,3830.35009765625,3690.0,3690.5,3690.5,272678,4838.58213677809,4213.714990234375,3588.8478436906603,-106.90843159176802,1.43570086314082,-108.34413245490884
54,2023-03-21,3841.0,4000.0,3821.0,3946.699951171875,3946.699951171875,463821,4836.43823214554,4200.799987792969,3565.161743440398,-103.58447710197288,-19.568334729881922,-84.01614237209095
55,2023-03-22,3938.050048828125,4020.449951171875,3840.0,3888.0,3888.0,216986,4836.7831291941375,4186.689978027343,3536.596826860549,-104.48240655983864,-36.551149095873264,-67.93125746396538
56,2023-03-23,3975.0,4000.0,3720.699951171875,3757.0,3757.0,209007,4831.067339006925,4158.339978027344,3485.612617047763,-114.44537229964999,-52.12999373662861,-62.315378563021376
57,2023-03-27,3851.0,4059.949951171875,3829.10009765625,4048.800048828125,4048.800048828125,245038,4811.530120009482,4143.22998046875,3474.9298409280186,-97.66939714882938,-61.23787441906877,-36.43152272976061
58,2023-03-28,4048.10009765625,4300.0,4048.10009765625,4256.4501953125,4256.4501953125,341368,4787.05528588437,4132.802490234375,3478.54969458438,-66.84810126098455,-62.35991978745192,-4.488181473532627
59,2023-03-29,4292.0498046875,4484.9501953125,4292.0498046875,4442.89990234375,4442.89990234375,334918,4798.097136958457,4137.022485351563,3475.9478337446685,-27.06507969096674,-55.30095176815489,28.235872077188148
60,2023-03-30,4442.0,4630.0,4412.9501953125,4593.0,4593.0,263242,4823.1861135352665,4144.772485351563,3466.3588571678592,16.386185223260327,-40.96352436987185,57.349709593132175
61,2023-03-31,4613.5,4720.0,4351.2001953125,4444.35009765625,4444.35009765625,695317,4835.361959048623,4149.739990234375,3464.1180214201263,38.384350023529805,-25.093949491191516,63.47829951472132
62,2023-04-03,4589.0,4743.0,4587.4501953125,4724.39990234375,4724.39990234375,480853,4885.250911306728,4164.457495117187,3443.6640789276466,77.52210629484034,-4.57073833398514,82.09284462882547
63,2023-04-04,4725.0,4740.0,4553.0,4635.7998046875,4635.7998046875,307942,4864.667538644648,4159.247485351562,3453.827432058477,100.23433368816222,16.390276070444333,83.8440576177179
64,2023-04-05,4540.0,4680.0,4530.0,4676.0498046875,4676.0498046875,168907,4900.018668480226,4170.149975585938,3440.2812826916497,120.09736844146937,37.13169454464934,82.96567389682002
65,2023-04-10,4800.0,5064.10009765625,4800.0,4943.25,4943.25,323094,4979.084971863065,4190.062475585937,3401.0399793088095,155.6060594732171,60.826567530362894,94.77949194285421
66,2023-04-11,4976.0,5061.60009765625,4950.0,4964.9501953125,4964.9501953125,249199,5058.3321911488765,4211.564990234375,3364.7977893198736,183.38404028400873,85.33806208109206,98.04597820291667
67,2023-04-12,5040.0,5044.0,4970.0,4999.5,4999.5,250803,5164.795655677029,4251.039990234375,3337.2843247917217,205.81367872583724,109.43318541004109,96.38049331579614
68,2023-04-13,5010.0,5049.0,4920.0,4962.7001953125,4962.7001953125,173291,5253.775607550468,4303.009997558594,3352.2443875667195,218.105705293784,131.16768938678968,86.93801590699434
69,2023-04-14,4991.75,5045.4501953125,4963.5,5022.14990234375,5022.14990234375,164625,5338.893153465684,4360.407495117188,3381.9218367686917,229.99310210827207,150.93277193108617,79.0603301771859
70,2023-04-17,5009.0,5055.0,4921.0,5046.39990234375,5046.39990234375,239587,5399.060938526125,4428.414990234375,3457.769041942625,238.62005856283395,168.47022925743573,70.14982930539821
71,2023-04-18,5048.0,5350.0,5046.39990234375,5194.7001953125,5194.7001953125,348061,5482.291512022924,4496.002502441406,3509.7134928598884,254.48997592430987,185.67417859081056,68.81579733349932
72,2023-04-19,4990.0,5159.14990234375,4961.0,5054.25,5054.25,425465,5504.753214364081,4564.592504882812,3624.4317954015432,252.81949701251142,199.10324227515073,53.716254737360686
73,2023-04-20,5048.0498046875,5150.0,4950.0,5078.2001953125,5078.2001953125,240288,5508.389358030523,4633.977514648437,3759.5656712663513,250.54014026024743,209.39062187217007,41.149518388077354
74,2023-04-21,5100.0,5200.0,4950.0,5185.64990234375,5185.64990234375,298372,5541.882751606098,4695.925012207032,3849.967272807965,254.47064775016588,218.40662704776923,36.06402070239665
75,2023-04-24,5251.0,5405.0,5170.0,5376.7998046875,5376.7998046875,219014,5580.086423549877,4770.365002441406,3960.6435813329363,269.89858004176676,228.70501764656873,41.19356239519803
76,2023-04-25,5302.7001953125,5445.0,5200.0,5401.7998046875,5401.7998046875,307362,5561.7984585860495,4852.604992675781,4143.411526765513,280.90452608171836,239.14491933359866,41.759606748119694
77,2023-04-26,5388.0,5442.0,5064.0,5227.7998046875,5227.7998046875,264905,5534.442385774061,4911.55498046875,4288.667575163438,272.4458852175012,245.80511251037916,26.64077270712204
78,2023-04-27,5230.0,5340.0,5060.0,5113.64990234375,5113.64990234375,281764,5504.848269584942,4954.414965820312,4403.981662055683,253.6079734107925,247.36568469046182,6.242288720330691
79,2023-04-28,5137.2001953125,5137.2001953125,4960.0,5101.75,5101.75,295193,5488.005029179233,4987.357470703125,4486.7099122270165,235.00952638482977,244.8944530293354,-9.88492664450564
80,2023-05-02,5080.0,5090.0,4888.0,5006.5,5006.5,217935,5474.838511424303,5008.032470703125,4541.226429981947,210.16163169058746,237.94788876158583,-27.786257070998374
81,2023-05-03,4966.35009765625,5000.0,4786.0,4795.39990234375,4795.39990234375,305983,5428.288919558147,5025.5849609375,4622.881002316853,171.4590097474138,224.65011295875144,-53.191103211337634
82,2023-05-04,4850.0,4869.85009765625,4753.0,4768.75,4768.75,284184,5424.288481343018,5027.802465820312,4631.316450297606,137.05657573320514,207.13140551364216,-70.07482978043703
83,2023-05-05,4841.0,5229.89990234375,4841.0,5202.5498046875,5202.5498046875,322896,5415.810946163792,5056.139965820313,4696.468985476833,143.14631611613822,194.33438763414136,-51.18807151800314
84,2023-05-08,5217.0,5376.10009765625,5217.0,5312.5498046875,5312.5498046875,229704,5418.97461307675,5087.9649658203125,4756.955318563875,155.06111195899302,186.4797324991117,-31.418620540118667
85,2023-05-09,5288.0,5410.0,5265.0,5340.5,5340.5,162749,5449.229890215584,5107.827465820313,4766.425041425041,164.85863297807919,182.1555125949052,-17.296879616826004
